"ClientId","ConsentType","ExpiryTime","ObjectId","PrincipalId","ResourceId","Scope","StartTime"
"d61f7681-8750-4665-ae00-c62b1c038861","AllPrincipals","8/24/2021 1:30:01 PM","gXYf1lCHZUauAMYrHAOIYW1rkel6pnZPijM5l-i64B8",,"e9916b6d-a67a-4f76-8a33-3997e8bae01f","User.Read","1/1/0001 12:00:00 AM"
"39cdb12c-3b5e-41c0-93ea-4f8f0d800cfa","Principal","1/8/2022 7:30:23 PM","LLHNOV47wEGT6k-PDYAM-g1MWvG5IFlLjpcepoZ9ztCLFmcRYXgmRYdilOmAxoJ2","1167168b-7861-4526-8762-94e980c68276","f15a4c0d-20b9-4b59-8e97-1ea6867dced0","User.Read","1/1/0001 12:00:00 AM"
"39cdb12c-3b5e-41c0-93ea-4f8f0d800cfa","Principal","1/8/2022 7:30:23 PM","LLHNOV47wEGT6k-PDYAM-m1rkel6pnZPijM5l-i64B-LFmcRYXgmRYdilOmAxoJ2","1167168b-7861-4526-8762-94e980c68276","e9916b6d-a67a-4f76-8a33-3997e8bae01f","User.Read","1/1/0001 12:00:00 AM"
"39cdb12c-3b5e-41c0-93ea-4f8f0d800cfa","Principal","1/8/2022 7:30:23 PM","LLHNOV47wEGT6k-PDYAM-qnQqhetK19CiFUeocpcXiyLFmcRYXgmRYdilOmAxoJ2","1167168b-7861-4526-8762-94e980c68276","17aad0a9-2bad-425f-8855-1ea1ca5c5e2c","Notes.Create Notes.ReadWrite.CreatedByApp Notes.Read Notes.ReadWrite Notes.Read.All Notes.ReadWrite.All","1/1/0001 12:00:00 AM"
"763e531d-b34e-48a5-8a5e-3c851c612a67","Principal","3/8/2022 2:10:02 AM","HVM-dk6zpUiKXjyFHGEqZ21rkel6pnZPijM5l-i64B-LFmcRYXgmRYdilOmAxoJ2","1167168b-7861-4526-8762-94e980c68276","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," offline_access openid EWS.AccessAsUser.All EAS.AccessAsUser.All","1/1/0001 12:00:00 AM"
"763e531d-b34e-48a5-8a5e-3c851c612a67","Principal","3/20/2022 11:38:52 PM","HVM-dk6zpUiKXjyFHGEqZ21rkel6pnZPijM5l-i64B-5RHfD5qxfR77a8zED5aBj","c37744b9-ace6-475f-beda-f33103e5a063","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," openid offline_access EAS.AccessAsUser.All","1/1/0001 12:00:00 AM"
"763e531d-b34e-48a5-8a5e-3c851c612a67","Principal","3/7/2022 9:11:47 PM","HVM-dk6zpUiKXjyFHGEqZ21rkel6pnZPijM5l-i64B--VG00Q0ztTL2WpC64BT6q","346d54be-4c43-4ced-bd96-a42eb8053eaa","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," openid offline_access EAS.AccessAsUser.All","1/1/0001 12:00:00 AM"
"763e531d-b34e-48a5-8a5e-3c851c612a67","Principal","5/2/2022 5:24:23 PM","HVM-dk6zpUiKXjyFHGEqZ21rkel6pnZPijM5l-i64B_WWaL_G7nJTphgKXdfEdIj","ffa259d6-b91b-4ec9-9860-29775f11d223","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," openid offline_access EAS.AccessAsUser.All","1/1/0001 12:00:00 AM"
"763e531d-b34e-48a5-8a5e-3c851c612a67","Principal","4/19/2022 6:59:36 PM","HVM-dk6zpUiKXjyFHGEqZ21rkel6pnZPijM5l-i64B8vHZ8X0IMIQorCL4FYeqB1","179f1d2f-83d0-4208-8ac2-2f81587aa075","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," openid offline_access EAS.AccessAsUser.All","1/1/0001 12:00:00 AM"
"763e531d-b34e-48a5-8a5e-3c851c612a67","Principal","3/21/2022 6:47:17 PM","HVM-dk6zpUiKXjyFHGEqZ21rkel6pnZPijM5l-i64B8JJil8FxsUT5h0k6Ix7ATh","7c292609-1b17-4f14-9874-93a231ec04e1","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," openid offline_access EAS.AccessAsUser.All","1/1/0001 12:00:00 AM"
"763e531d-b34e-48a5-8a5e-3c851c612a67","Principal","1/15/2022 2:40:16 PM","HVM-dk6zpUiKXjyFHGEqZ21rkel6pnZPijM5l-i64B8M_qoMmVGDQJWit-HiIUQE","0caafe0c-5199-4083-95a2-b7e1e2214404","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," openid offline_access EAS.AccessAsUser.All","1/1/0001 12:00:00 AM"
"763e531d-b34e-48a5-8a5e-3c851c612a67","Principal","4/6/2022 6:14:34 PM","HVM-dk6zpUiKXjyFHGEqZ21rkel6pnZPijM5l-i64B9pIJWCJxeWQquOtK56uIXX","82952069-1727-4296-ab8e-b4ae7ab885d7","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," openid offline_access EAS.AccessAsUser.All","1/1/0001 12:00:00 AM"
"763e531d-b34e-48a5-8a5e-3c851c612a67","Principal","1/10/2022 8:13:02 PM","HVM-dk6zpUiKXjyFHGEqZ21rkel6pnZPijM5l-i64B-bOopMaWFNQbIB_eerbUXl","4c8a3a9b-6169-414d-b201-fde7ab6d45e5","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," openid offline_access EAS.AccessAsUser.All","1/1/0001 12:00:00 AM"
"763e531d-b34e-48a5-8a5e-3c851c612a67","Principal","4/9/2022 2:50:13 PM","HVM-dk6zpUiKXjyFHGEqZ21rkel6pnZPijM5l-i64B-o__GP3Yn4RasZbcQYVD-K","8ff1ffa8-89dd-45f8-ab19-6dc418543f8a","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," openid offline_access EAS.AccessAsUser.All","1/1/0001 12:00:00 AM"
"763e531d-b34e-48a5-8a5e-3c851c612a67","Principal","5/15/2022 8:19:42 PM","HVM-dk6zpUiKXjyFHGEqZ21rkel6pnZPijM5l-i64B-jGpS5i2JGTbluSHCcEMZX","b9941aa3-628b-4d46-b96e-48709c10c657","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," openid offline_access EAS.AccessAsUser.All","1/1/0001 12:00:00 AM"
"763e531d-b34e-48a5-8a5e-3c851c612a67","Principal","3/22/2022 1:09:09 AM","HVM-dk6zpUiKXjyFHGEqZ21rkel6pnZPijM5l-i64B9Tc5GPgV6aTKdB552LPrn_","8f917353-5e81-4c9a-a741-e79d8b3eb9ff","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," openid offline_access EAS.AccessAsUser.All","1/1/0001 12:00:00 AM"
"763e531d-b34e-48a5-8a5e-3c851c612a67","Principal","4/11/2022 6:48:43 PM","HVM-dk6zpUiKXjyFHGEqZ21rkel6pnZPijM5l-i64B9ug96YsFI5RKsNYA8sOGvE","98de836e-52b0-4439-ab0d-600f2c386bc4","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," openid offline_access EAS.AccessAsUser.All","1/1/0001 12:00:00 AM"
"763e531d-b34e-48a5-8a5e-3c851c612a67","Principal","3/18/2022 12:53:52 PM","HVM-dk6zpUiKXjyFHGEqZ21rkel6pnZPijM5l-i64B96secClVZSSpImHqdkWYN9","02e7b17a-5695-4a52-9226-1ea76459837d","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," openid offline_access EAS.AccessAsUser.All","1/1/0001 12:00:00 AM"
"763e531d-b34e-48a5-8a5e-3c851c612a67","Principal","3/16/2022 7:20:47 PM","HVM-dk6zpUiKXjyFHGEqZ21rkel6pnZPijM5l-i64B9k3TgsyKJHTKrxoA4UA3La","2c38dd64-a2c8-4c47-aaf1-a00e140372da","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," openid offline_access EAS.AccessAsUser.All","1/1/0001 12:00:00 AM"
"763e531d-b34e-48a5-8a5e-3c851c612a67","Principal","3/12/2022 2:08:17 AM","HVM-dk6zpUiKXjyFHGEqZ21rkel6pnZPijM5l-i64B-oPOPt1_q_RZMy90zgxuA0","ede33ca8-fad7-45bf-9332-f74ce0c6e034","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," openid offline_access EAS.AccessAsUser.All","1/1/0001 12:00:00 AM"
"763e531d-b34e-48a5-8a5e-3c851c612a67","Principal","5/28/2022 12:39:44 AM","HVM-dk6zpUiKXjyFHGEqZ21rkel6pnZPijM5l-i64B8Y6IXceCxJRJA6zDgDzNHX","dc85e818-2c78-4449-903a-cc3803ccd1d7","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," openid offline_access EAS.AccessAsUser.All","1/1/0001 12:00:00 AM"
"b6248405-568a-4407-9fb0-8cf9b69cdf51","Principal","4/20/2022 1:44:53 PM","BYQktopWB0SfsIz5tpzfUW1rkel6pnZPijM5l-i64B-vN-ZrtcjMQql9k_VX7cMF","6be637af-c8b5-42cc-a97d-93f557edc305","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," User.Read Presence.Read offline_access","1/1/0001 12:00:00 AM"
"b6248405-568a-4407-9fb0-8cf9b69cdf51","Principal","1/15/2022 2:27:53 PM","BYQktopWB0SfsIz5tpzfUW1rkel6pnZPijM5l-i64B97ZOpEfcOhSIyZ_vgDEUNo","44ea647b-c37d-48a1-8c99-fef803114368","e9916b6d-a67a-4f76-8a33-3997e8bae01f","offline_access Presence.Read User.Read","1/1/0001 12:00:00 AM"
"0bc79583-8e3c-4306-8e3c-99b0b5d52164","Principal","1/17/2022 2:55:12 PM","g5XHCzyOBkOOPJmwtdUhZA1MWvG5IFlLjpcepoZ9ztBGRQv0LaySRo02JDtw52vZ","f40b4546-ac2d-4692-8d36-243b70e76bd9","f15a4c0d-20b9-4b59-8e97-1ea6867dced0","User.Read","1/1/0001 12:00:00 AM"
"0bc79583-8e3c-4306-8e3c-99b0b5d52164","Principal","1/17/2022 2:55:12 PM","g5XHCzyOBkOOPJmwtdUhZG1rkel6pnZPijM5l-i64B9GRQv0LaySRo02JDtw52vZ","f40b4546-ac2d-4692-8d36-243b70e76bd9","e9916b6d-a67a-4f76-8a33-3997e8bae01f","Files.ReadWrite.All","1/1/0001 12:00:00 AM"
"5573202c-5470-49e8-a572-96c75dae5479","AllPrincipals","3/28/2022 1:12:24 PM","LCBzVXBU6EmlcpbHXa5UeW1rkel6pnZPijM5l-i64B8",,"e9916b6d-a67a-4f76-8a33-3997e8bae01f"," openid email profile offline_access User.Read Calendars.ReadWrite","1/1/0001 12:00:00 AM"
"5573202c-5470-49e8-a572-96c75dae5479","Principal","3/28/2022 1:07:51 PM","LCBzVXBU6EmlcpbHXa5UeW1rkel6pnZPijM5l-i64B-vN-ZrtcjMQql9k_VX7cMF","6be637af-c8b5-42cc-a97d-93f557edc305","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," openid email profile offline_access User.Read Calendars.ReadWrite","1/1/0001 12:00:00 AM"
"5573202c-5470-49e8-a572-96c75dae5479","Principal","3/26/2022 11:33:02 AM","LCBzVXBU6EmlcpbHXa5UeW1rkel6pnZPijM5l-i64B97ZOpEfcOhSIyZ_vgDEUNo","44ea647b-c37d-48a1-8c99-fef803114368","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," openid email profile offline_access User.Read Calendars.ReadWrite","1/1/0001 12:00:00 AM"
